CycleCount,Axial_Displacement,Axial_Force,Running_Time,Rollover_Running,Time,Ch_1_Integer_Count
CycleCount,mm,kN,sec,sec,cycles,
1,0.0273516616289271,2.40984790039063,0.43408203125,0.43408203125,0,
1,0.0534533173777163,4.91498828125,0.834147155284882,0.834147155284882,0,
1,0.0794548541307449,7.260640625,1.23421227931976,1.23421227931976,0,
1,0.101853423984721,9.09571875,1.63427734375,1.63427734375,0,
1,0.114151334855706,10.3188701171875,2.03434252738953,2.03434252738953,0,
1,0.125832040794194,10.921439453125,2.43440747261047,2.43440771102905,0,
1,0.125013204524294,10.8293486328125,2.83447265625,2.83447265625,0,
1,0.117691757623106,10.0438505859375,3.23453783988953,3.23453783988953,0,
1,0.100808800198138,8.6225322265625,3.63460278511047,3.63460302352905,0,
1,0.0826305767986923,6.65266259765625,4.03466796875,4.03466796875,0,
1,0.0560708867851645,4.30056884765625,4.43473291397095,4.43473339080811,0,
1,0.0300007814075798,1.66834362792969,4.83479833602905,4.83479833602905,0,
1,-0.000344152795150876,-1.042216796875,5.23486328125,5.23486328125,0.5,
1,-0.0309340830426663,-3.71152368164063,5.63492822647095,5.63492870330811,0.5,
1,-0.0555718434043229,-6.1253408203125,6.03499364852905,6.03499364852905,0.5,
1,-0.0803476141300052,-8.2532412109375,6.43505859375,6.43505859375,0.5,
1,-0.0977893942035735,-9.7796015625,6.83512353897095,6.83512401580811,0.5,
1,-0.10820254101418,-10.7058203125,7.23518896102905,7.23518896102905,0.5,
1,-0.114911978016607,-10.96322265625,7.63525390625,7.63525390625,0.5,
1,-0.109795233584009,-10.52651953125,8.03531932830811,8.03531932830811,0.5,
1,-0.098591175628826,-9.4073994140625,8.43538379669189,8.43538475036621,0.5,
1,-0.0816372339613736,-7.71366064453125,8.83544921875,8.83544921875,0.5,
1,-0.0615450844634324,-5.52446630859375,9.23551464080811,9.23551464080811,0.5,
1,-0.0341689155902714,-3.01872705078125,9.63557910919189,9.63558006286621,0.5,
1,-0.00678305514156818,-0.309773010253906,10.03564453125,10.03564453125,0.5,
2,0.0218702480196953,2.42113549804687,10.4357099533081,10.4357099533081,1,
2,0.0511626421939582,4.9141826171875,10.8357744216919,10.8357753753662,1,
2,0.0778984685894102,7.2974365234375,11.23583984375,11.23583984375,1,
2,0.0995417358353734,9.1013798828125,11.6359052658081,11.6359052658081,1,
2,0.113551010144874,10.32807421875,12.0359697341919,12.0359706878662,1,
2,0.122502300655469,10.929681640625,12.43603515625,12.43603515625,1,
2,0.122946192277595,10.804634765625,12.8361005783081,12.8361005783081,1,
2,0.113108137156814,10.033650390625,13.2361650466919,13.2361660003662,1,
2,0.100659526651725,8.6420537109375,13.63623046875,13.63623046875,1,
2,0.0799720291979611,6.667525390625,14.0362958908081,14.0362958908081,1,
2,0.0567195238545537,4.2966787109375,14.4363603591919,14.4363613128662,1,
2,0.0272557081189007,1.66309069824219,14.83642578125,14.83642578125,1,
2,-0.00369129702448845,-1.053984375,15.2364912033081,15.2364912033081,1.5,
2,-0.0316014920827001,-3.69336450195313,15.6365556716919,15.6365566253662,1.5,
2,-0.0589282753935549,-6.10216064453125,16.03662109375,16.03662109375,1.5,
2,-0.0821433786768466,-8.2283115234375,16.4366855621338,16.4366874694824,1.5,
2,-0.0997814495349303,-9.7888193359375,16.8367519378662,16.8367519378662,1.5,
2,-0.110260662040673,-10.704529296875,17.23681640625,17.23681640625,1.5,
2,-0.114419293822721,-10.9809462890625,17.6368808746338,17.6368827819824,1.5,
2,-0.108978973003104,-10.47551171875,18.0369472503662,18.0369472503662,1.5,
2,-0.0970853725448251,-9.425505859375,18.43701171875,18.43701171875,1.5,
2,-0.0820810964796692,-7.7221171875,18.8370761871338,18.8370780944824,1.5,
2,-0.0628248672001064,-5.55632080078125,19.2371425628662,19.2371425628662,1.5,
2,-0.0337434175889939,-2.99167407226563,19.63720703125,19.63720703125,1.5,
2,-0.00705660249877837,-0.295015319824219,20.0372714996338,20.0372734069824,1.5,
3,0.0221775844693184,2.43354956054687,20.4373378753662,20.4373378753662,2,
3,0.049062364269048,4.92134375,20.83740234375,20.83740234375,2,
3,0.0752417836338282,7.3173427734375,21.2374668121338,21.2374687194824,2,
3,0.098508084192872,9.0973154296875,21.6375331878662,21.6375331878662,2,
3,0.111699308035895,10.3289541015625,22.03759765625,22.03759765625,2,
3,0.120837357826531,10.9167890625,22.4376621246338,22.4376640319824,2,
3,0.122804893180728,10.81463671875,22.8377285003662,22.8377285003662,2,
3,0.115595845272765,10.0222490234375,23.23779296875,23.23779296875,2,
3,0.0979380856733769,8.5952333984375,23.6378574371338,23.6378593444824,2,
3,0.0796921667642891,6.640458984375,24.0379238128662,24.0379238128662,2,
3,0.0527719967067242,4.2838115234375,24.43798828125,24.43798828125,2,
3,0.0253972539212555,1.65278942871094,24.8380527496338,24.8380546569824,2,
3,-0.00433402601629496,-1.06853051757813,25.2381191253662,25.2381191253662,2.5,
3,-0.0335070071741939,-3.71246142578125,25.63818359375,25.63818359375,2.5,
3,-0.0614095479249954,-6.1352109375,26.0382480621338,26.0382499694824,2.5,
3,-0.0853787059895694,-8.2389150390625,26.4383144378662,26.4383144378662,2.5,
3,-0.10040495544672,-9.7846474609375,26.83837890625,26.83837890625,2.5,
3,-0.113155547296628,-10.7141171875,27.2384433746338,27.2384452819824,2.5,
3,-0.115550996270031,-10.9736005859375,27.6385097503662,27.6385097503662,2.5,
3,-0.110857043182477,-10.524509765625,28.03857421875,28.03857421875,2.5,
